gender,race/ethnicity,parental level of education,lunch,test preparation course,m1 score,m2 score,physics score,m3 score,m4 score,DS score,CO score,LD score,SOM score,ED score,OS-1 score,OS-2 score,MICRO-1score,MICRO-2 score,Chemistry score,EC score,Electrical SCi score,C++ score,Java score,OR Score,IM score
female,group B,bachelor's degree,standard,none,72,72,74,62,64,74,87,52,73,63,57,37,74,67,87,66,95,72,100,69,99
female,group C,some college,standard,completed,69,90,88,80,87,43,48,42,36,86,92,89,62,55,93,37,47,40,58,76,66
female,group B,master's degree,standard,none,90,95,93,94,36,58,66,86,88,48,76,72,35,97,92,99,90,45,67,73,48
male,group A,associate's degree,free/reduced,none,47,57,44,43,87,99,47,75,89,62,87,74,66,77,96,94,76,59,36,59,73
male,group C,some college,standard,none,76,78,75,84,54,85,88,61,75,82,88,43,45,43,45,46,88,56,41,44,68
female,group B,associate's degree,standard,none,71,83,78,82,82,86,77,42,99,80,93,52,71,88,37,69,96,96,55,43,85
female,group B,some college,standard,completed,88,95,92,79,43,43,100,58,62,51,48,52,90,96,88,92,81,37,41,73,62
male,group B,some college,free/reduced,none,40,43,39,78,95,38,38,75,78,76,82,93,36,83,36,55,63,92,52,100,75
male,group D,high school,free/reduced,completed,64,64,67,77,72,73,86,42,73,38,93,73,48,67,97,65,97,50,42,71,73
female,group B,high school,free/reduced,none,38,60,50,81,63,84,35,56,92,86,58,61,88,75,77,71,77,58,58,74,38
male,group C,associate's degree,standard,none,58,54,52,45,97,77,87,55,95,39,100,93,73,94,36,94,67,53,84,39,63
male,group D,associate's degree,standard,none,40,52,43,82,74,88,36,73,88,44,71,84,37,59,100,62,63,82,94,89,50
female,group B,high school,standard,none,65,81,73,93,66,39,74,91,43,42,96,97,57,61,55,49,71,55,46,42,95
male,group A,some college,standard,completed,78,72,70,78,54,49,46,79,37,60,95,49,60,85,43,58,100,60,77,80,100
female,group A,master's degree,standard,none,50,53,58,89,45,50,65,44,55,40,66,74,91,55,69,96,72,81,65,37,88
female,group C,some high school,standard,none,69,75,78,48,89,68,40,37,47,42,93,60,45,80,97,89,82,93,61,61,52
male,group C,high school,standard,none,88,89,86,50,62,42,54,70,82,89,84,55,38,95,60,81,70,98,55,43,48
female,group B,some high school,free/reduced,none,18,32,28,80,46,86,49,68,71,66,82,38,56,50,68,72,40,50,35,47,80
male,group C,master's degree,free/reduced,completed,46,42,46,91,79,99,86,38,98,90,92,76,39,74,57,96,65,39,37,71,56
female,group C,associate's degree,free/reduced,none,54,58,61,98,58,54,49,100,59,85,99,91,95,76,70,49,38,73,35,54,40
male,group D,high school,standard,none,66,69,63,38,89,85,67,64,86,42,97,56,55,70,69,97,51,49,41,35,41
female,group B,some college,free/reduced,completed,65,75,70,85,73,40,62,43,69,91,69,99,98,96,68,55,84,88,73,61,98
male,group D,some college,standard,none,44,54,53,37,43,76,40,98,78,83,56,49,86,77,84,62,37,91,53,77,36
female,group C,some high school,standard,none,69,73,73,83,49,35,91,96,50,73,64,68,85,47,64,84,81,88,47,55,59
male,group D,bachelor's degree,free/reduced,completed,74,71,80,74,52,66,47,88,70,71,50,48,87,44,47,49,51,82,84,86,52
male,group A,master's degree,free/reduced,none,73,74,72,58,47,44,100,60,76,62,97,57,78,53,70,74,52,47,51,39,58
male,group B,some college,standard,none,69,54,55,97,70,68,35,35,51,42,52,70,87,36,75,81,39,78,42,95,74
female,group C,bachelor's degree,standard,none,67,69,75,93,36,64,50,73,61,93,56,74,62,46,42,81,45,68,79,84,39
male,group C,high school,standard,none,70,70,65,94,99,69,100,49,91,40,69,73,46,36,41,92,91,37,36,58,79
