gender,race/ethnicity,parental level of education,lunch,test preparation course,,m1 score,physics score,m2 score,m3 score,DS score,CO score,LD score,SOM score,ED score,OS-1 score,OS-2 score,MICRO-1score,MICRO-2 score,Chemistry score,EC score,Electrical SCi score,C++ score,Java score,OR Score,IM score,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,SUB13,SUB14,SUB15,SUB16,SUB17,SUB18,SUB19,SUB20,SUB21,SUB22,SUB23,SUB24,SUB25,SUB26,SUB27,SUB28,SUB29,SUB30,SUB31,Result2,Result
female,group B,bachelor's degree,standard,none,72,72,74,62,64,74,87,52,73,63,57,37,74,67,87,66,95,72,100,69,99,45,43,77,70,41,100,90,56,84,69,61,98,37,50,53,85,77,92,50,86,64,92,49,77,80,82,80,95,45,83,41,7,0
female,group C,some college,standard,completed,69,90,88,80,87,43,48,42,36,86,92,89,62,55,93,37,47,40,58,76,66,62,77,51,45,45,46,70,57,51,67,60,40,90,58,94,84,50,69,66,90,61,64,58,50,59,40,41,71,47,53,47,6,1
female,group B,master's degree,standard,none,90,95,93,94,36,58,66,86,88,48,76,72,35,97,92,99,90,45,67,73,48,55,45,64,37,49,83,79,70,49,64,86,37,46,91,43,43,86,94,55,92,93,65,85,58,89,93,52,51,56,77,55,6,2
male,group A,associate's degree,free/reduced,none,47,57,44,43,87,99,47,75,89,62,87,74,66,77,96,94,76,59,36,59,73,87,88,99,36,71,71,96,40,43,43,84,42,88,80,51,48,57,57,78,79,81,60,73,58,77,81,41,63,46,41,76,6,3
male,group C,some college,standard,none,76,78,75,84,54,85,88,61,75,82,88,43,45,43,45,46,88,56,41,44,68,44,35,71,57,39,91,68,88,72,62,70,74,38,86,87,69,89,73,74,78,39,81,60,63,42,64,61,52,71,59,97,6,4
female,group B,associate's degree,standard,none,71,83,78,82,82,86,77,42,99,80,93,52,71,88,37,69,96,96,55,43,85,45,78,84,69,74,85,90,43,86,88,83,54,35,82,96,35,66,94,99,54,90,48,43,78,35,48,75,77,79,60,58,7,5
female,group B,some college,standard,completed,88,95,92,79,43,43,100,58,62,51,48,52,90,96,88,92,81,37,41,73,62,62,73,96,76,39,62,48,46,70,49,64,51,92,77,35,66,47,51,85,49,56,56,37,72,89,98,43,50,99,56,98,6,6
male,group B,some college,free/reduced,none,40,43,39,78,95,38,38,75,78,76,82,93,36,83,36,55,63,92,52,100,75,97,41,57,65,84,92,92,77,52,80,35,79,58,56,68,92,57,47,62,38,74,43,90,68,73,60,51,89,40,64,55,6,7
male,group D,high school,free/reduced,completed,64,64,67,77,72,73,86,42,73,38,93,73,48,67,97,65,97,50,42,71,73,44,37,90,93,92,67,63,99,93,52,54,57,77,42,50,87,80,54,90,41,86,64,70,52,76,54,89,97,60,76,94,6,8
female,group B,high school,free/reduced,none,38,60,50,81,63,84,35,56,92,86,58,61,88,75,77,71,77,58,58,74,38,59,69,70,49,69,67,92,42,99,92,39,45,42,58,37,56,41,97,72,38,92,54,61,84,41,82,50,58,93,71,49,6,9
male,group C,associate's degree,standard,none,58,54,52,45,97,77,87,55,95,39,100,93,73,94,36,94,67,53,84,39,63,84,92,70,68,96,47,100,92,53,49,48,100,58,36,43,43,47,57,53,86,45,72,41,88,35,85,99,99,84,63,46,6,0
male,group D,associate's degree,standard,none,40,52,43,82,74,88,36,73,88,44,71,84,37,59,100,62,63,82,94,89,50,90,73,71,96,78,77,95,74,85,62,50,57,35,53,88,42,88,99,38,74,35,89,91,40,54,96,91,46,43,79,45,6,1
female,group B,high school,standard,none,65,81,73,93,66,39,74,91,43,42,96,97,57,61,55,49,71,55,46,42,95,77,95,62,66,79,93,71,98,38,38,80,83,65,48,64,84,45,43,51,65,61,63,99,68,48,46,68,60,39,87,37,6,2
male,group A,some college,standard,completed,78,72,70,78,54,49,46,79,37,60,95,49,60,85,43,58,100,60,77,80,100,92,71,61,89,83,59,60,96,36,41,90,64,90,72,84,90,60,54,92,52,69,80,50,48,98,52,54,65,85,68,49,6,3
female,group A,master's degree,standard,none,50,53,58,89,45,50,65,44,55,40,66,74,91,55,69,96,72,81,65,37,88,64,57,46,88,76,73,40,58,66,82,70,100,85,93,88,67,63,91,85,41,88,41,97,51,73,57,63,36,86,55,41,6,4
female,group C,some high school,standard,none,69,75,78,48,89,68,40,37,47,42,93,60,45,80,97,89,82,93,61,61,52,57,69,65,85,91,62,52,65,46,63,83,40,92,54,47,73,100,93,66,69,73,60,70,77,59,35,36,42,90,69,50,6,5
male,group C,high school,standard,none,88,89,86,50,62,42,54,70,82,89,84,55,38,95,60,81,70,98,55,43,48,45,94,81,36,43,98,74,49,41,83,49,85,86,38,49,100,78,98,66,69,46,100,55,87,74,66,96,98,92,67,95,7,6
female,group B,some high school,free/reduced,none,18,32,28,80,46,86,49,68,71,66,82,38,56,50,68,72,40,50,35,47,80,94,72,76,71,57,71,88,46,90,70,74,97,44,56,89,76,80,82,41,86,56,93,49,100,79,51,78,59,38,49,80,6,7
male,group C,master's degree,free/reduced,completed,46,42,46,91,79,99,86,38,98,90,92,76,39,74,57,96,65,39,37,71,56,98,38,94,57,83,36,88,78,75,41,56,65,56,44,75,39,69,65,78,51,44,63,74,38,52,61,70,37,83,82,66,6,8
female,group C,associate's degree,free/reduced,none,54,58,61,98,58,54,49,100,59,85,99,91,95,76,70,49,38,73,35,54,40,39,73,88,72,47,98,49,71,61,35,96,83,35,66,37,85,54,44,60,42,40,48,80,38,61,87,69,64,80,93,61,6,9
male,group D,high school,standard,none,66,69,63,38,89,85,67,64,86,42,97,56,55,70,69,97,51,49,41,35,41,84,65,37,39,76,95,44,81,90,45,83,37,40,46,63,54,82,82,64,61,87,36,96,68,88,66,54,82,54,97,55,6,0
female,group B,some college,free/reduced,completed,65,75,70,85,73,40,62,43,69,91,69,99,98,96,68,55,84,88,73,61,98,69,65,90,57,45,91,100,64,63,91,97,99,44,59,56,77,79,62,87,67,39,78,64,74,83,64,37,83,58,66,80,7,1
male,group D,some college,standard,none,44,54,53,37,43,76,40,98,78,83,56,49,86,77,84,62,37,91,53,77,36,38,98,63,46,67,95,84,56,53,47,76,66,35,80,49,97,73,70,86,79,38,51,65,98,48,42,53,49,75,36,91,6,2
female,group C,some high school,standard,none,69,73,73,83,49,35,91,96,50,73,64,68,85,47,64,84,81,88,47,55,59,92,82,45,97,36,47,74,83,43,57,75,95,55,61,75,44,80,62,92,58,94,85,83,90,73,92,86,77,45,84,40,6,3
male,group D,bachelor's degree,free/reduced,completed,74,71,80,74,52,66,47,88,70,71,50,48,87,44,47,49,51,82,84,86,52,55,50,46,35,62,46,46,42,35,62,94,44,36,96,91,63,79,82,43,69,35,81,88,85,86,46,89,40,85,63,80,6,4
male,group A,master's degree,free/reduced,none,73,74,72,58,47,44,100,60,76,62,97,57,78,53,70,74,52,47,51,39,58,36,75,95,52,53,91,63,49,100,98,83,93,80,42,47,41,96,94,38,54,45,93,92,60,84,52,69,68,86,77,57,6,5
male,group B,some college,standard,none,69,54,55,97,70,68,35,35,51,42,52,70,87,36,75,81,39,78,42,95,74,74,88,97,58,37,92,53,35,41,62,44,45,39,85,68,84,98,80,69,93,60,100,86,98,38,44,60,62,91,87,98,6,6
female,group C,bachelor's degree,standard,none,67,69,75,93,36,64,50,73,61,93,56,74,62,46,42,81,45,68,79,84,39,60,75,100,94,56,43,62,100,63,82,86,71,61,51,45,84,66,36,60,62,94,74,37,86,48,55,96,52,97,51,87,6,7
male,group C,high school,standard,none,70,70,65,94,99,69,100,49,91,40,69,73,46,36,41,92,91,37,36,58,79,73,64,98,52,65,88,36,49,88,68,61,89,95,80,97,100,68,49,43,82,45,66,72,74,52,55,90,65,74,83,47,6,8
female,group D,master's degree,standard,none,62,70,75,65,63,100,77,88,53,46,85,51,96,41,83,37,40,100,89,40,87,87,57,48,36,65,65,60,94,44,85,72,90,49,92,91,85,96,78,84,67,56,99,47,81,47,48,47,52,60,64,72,6,9
female,group D,some college,standard,none,69,74,74,100,70,80,42,50,58,48,36,94,70,86,50,51,76,64,84,51,41,95,56,76,86,88,90,41,81,35,56,54,94,93,70,50,97,52,47,45,92,78,60,72,93,98,72,39,83,67,39,75,6,0
female,group B,some college,standard,none,63,65,61,38,97,82,98,46,44,69,71,72,87,56,98,71,83,40,79,36,99,40,99,56,91,70,65,38,36,47,85,65,95,51,66,36,40,90,84,79,52,47,61,87,42,44,96,93,59,42,77,48,6,1
female,group E,master's degree,free/reduced,none,56,72,65,64,82,83,88,54,90,47,66,47,72,79,85,46,78,82,54,58,91,37,56,77,72,95,62,85,69,39,77,78,77,69,86,51,57,66,39,39,51,52,45,69,46,84,68,76,46,52,67,94,6,2
male,group D,some college,standard,none,40,42,38,88,88,53,57,57,83,39,98,36,69,96,77,35,92,45,67,44,98,60,52,89,87,54,58,100,100,85,65,48,50,80,97,47,84,74,58,49,81,61,48,87,42,46,48,91,76,83,71,51,6,3
male,group E,some college,standard,none,97,87,82,70,99,85,67,69,56,54,51,90,84,44,56,38,97,91,41,70,63,75,71,94,58,36,48,71,78,92,61,98,80,69,47,52,55,59,39,95,97,96,62,98,52,75,76,84,51,71,87,59,7,4
male,group E,associate's degree,standard,completed,81,81,79,71,43,92,54,64,78,40,85,90,46,98,98,78,55,48,92,42,35,49,89,64,98,93,63,53,64,66,61,41,93,48,51,86,69,37,94,87,72,88,78,40,87,36,53,76,81,48,37,70,6,5
female,group D,associate's degree,standard,none,74,81,83,58,80,52,85,39,75,58,84,81,48,36,53,44,45,63,39,70,36,43,65,57,74,55,50,46,64,91,71,61,99,89,49,92,98,64,80,42,81,92,72,89,57,48,93,99,74,82,82,67,6,6
female,group D,some high school,free/reduced,none,50,64,59,62,92,61,74,91,79,85,88,35,38,55,51,91,40,61,47,42,49,42,85,51,70,69,56,54,88,41,93,47,88,95,96,58,50,40,52,35,51,57,36,92,96,62,77,83,99,96,96,44,6,7
female,group D,associate's degree,free/reduced,completed,75,90,88,77,93,99,96,35,58,39,88,41,99,51,97,93,82,51,96,68,88,49,88,57,40,40,92,79,35,87,83,73,98,91,56,92,40,53,59,62,97,40,40,69,75,55,63,38,49,66,86,35,6,8
male,group B,associate's degree,free/reduced,none,57,56,57,71,70,91,71,71,36,84,97,82,75,96,51,49,78,94,64,67,93,75,79,67,65,59,96,87,68,58,94,81,43,64,87,56,42,57,44,74,80,45,91,60,41,50,40,81,80,97,89,84,7,9
male,group C,associate's degree,free/reduced,none,55,61,54,72,75,38,82,43,96,70,40,99,78,49,65,60,37,97,69,98,55,66,92,94,79,99,58,88,80,50,50,74,77,80,99,43,46,85,84,94,78,84,97,88,64,46,90,53,59,51,48,61,7,0
female,group C,associate's degree,standard,none,58,73,68,75,44,35,57,94,41,41,59,47,60,68,70,74,84,45,70,83,57,35,76,79,92,83,64,67,45,51,64,36,87,82,68,70,50,94,98,94,68,87,90,65,77,80,77,57,40,52,38,49,6,1
female,group B,associate's degree,standard,none,53,58,65,69,50,76,83,63,51,46,53,63,45,44,68,90,88,42,55,49,52,56,97,71,35,88,90,72,89,80,35,45,92,40,44,79,98,91,49,59,69,36,54,99,77,62,98,49,40,94,47,46,6,2
male,group B,some college,free/reduced,completed,59,65,66,86,87,62,86,67,55,73,37,99,53,63,40,59,41,55,53,58,46,74,45,45,77,68,55,77,98,40,78,86,94,85,59,76,64,35,79,57,65,52,68,51,71,78,68,94,60,41,97,82,6,3
female,group E,associate's degree,free/reduced,none,50,56,54,43,85,49,83,71,85,44,45,96,75,59,54,61,95,83,93,73,52,84,58,44,80,40,54,67,91,50,61,77,37,73,61,51,41,75,62,44,90,72,43,60,45,85,67,55,42,88,54,63,6,4
male,group B,associate's degree,standard,none,65,54,57,62,62,97,46,50,90,76,39,76,79,73,81,47,46,41,48,90,66,52,87,47,96,50,46,86,37,38,70,46,65,42,67,98,42,88,43,70,62,84,73,42,60,82,93,79,52,67,69,91,6,5
female,group A,associate's degree,standard,completed,55,65,62,73,92,94,100,58,79,51,40,94,50,54,44,68,43,50,84,77,49,98,91,56,99,95,66,90,53,69,38,96,66,98,92,73,89,93,65,99,69,53,50,88,58,72,62,93,42,48,94,44,7,6
female,group C,high school,standard,none,66,71,76,38,61,84,83,95,65,44,90,57,77,76,71,46,62,38,91,80,71,74,59,73,50,91,95,46,54,38,45,67,91,54,98,46,77,92,43,86,73,87,46,50,42,87,83,69,39,37,70,39,6,7
female,group D,associate's degree,free/reduced,completed,57,74,76,38,36,68,56,45,58,71,76,67,74,73,60,92,82,77,97,90,78,71,60,49,47,57,88,40,47,89,91,61,54,43,99,67,99,47,77,75,70,38,56,55,65,59,79,84,71,81,51,79,6,8
male,group C,high school,standard,completed,82,84,82,83,44,57,58,61,75,84,47,71,93,36,83,78,95,57,89,58,48,41,72,64,65,63,58,74,60,78,37,47,65,99,55,66,87,69,69,67,53,100,80,64,49,96,74,48,84,39,81,53,6,9
male,group E,some college,standard,none,53,55,48,83,66,83,88,93,61,44,86,93,86,68,41,77,94,66,72,50,48,57,71,53,92,56,45,37,71,93,50,46,77,38,68,74,77,78,44,49,59,70,86,39,94,49,88,46,68,43,42,71,6,0
male,group E,associate's degree,free/reduced,completed,77,69,68,100,56,86,72,53,42,55,72,74,64,71,73,59,57,68,88,44,91,79,55,71,50,90,57,58,45,95,40,65,74,66,90,72,68,43,73,50,82,77,69,71,68,49,57,67,50,50,37,39,6,1
male,group C,some college,standard,none,53,44,42,87,66,74,58,63,77,56,97,57,55,62,100,96,81,92,80,56,47,77,49,70,75,89,70,97,82,95,36,75,45,94,39,40,60,79,70,65,44,64,89,75,98,73,41,95,40,86,50,70,6,2
male,group D,high school,standard,none,88,78,75,77,96,97,52,41,84,38,79,72,44,48,94,54,41,38,43,82,59,75,89,96,55,100,100,90,66,75,38,94,78,35,98,70,63,91,66,98,92,37,41,61,79,85,50,91,44,52,46,40,6,3
female,group C,some high school,free/reduced,completed,71,84,87,49,72,43,45,84,48,94,57,46,35,42,99,58,83,52,85,86,66,38,86,91,37,75,41,73,95,35,58,55,44,89,94,64,51,88,69,63,69,46,89,38,95,86,81,83,57,84,72,93,6,4
female,group C,high school,free/reduced,none,33,41,43,87,96,59,39,84,52,41,46,50,98,75,56,91,96,84,95,90,61,55,71,61,43,83,56,40,44,87,89,86,45,66,94,80,100,58,46,68,72,82,86,59,46,70,82,92,64,42,36,91,6,5
female,group E,associate's degree,standard,completed,82,85,86,70,49,90,97,53,83,80,84,77,72,76,84,68,90,36,39,87,59,83,79,51,91,86,71,62,68,54,80,59,59,82,87,78,92,50,98,40,43,47,72,66,67,49,68,59,64,65,89,85,7,6
male,group D,associate's degree,standard,none,52,55,49,41,62,39,81,51,95,100,49,70,57,62,66,90,92,97,66,63,61,72,82,35,69,48,80,86,48,73,89,87,46,76,40,99,78,96,84,45,38,49,88,66,84,62,54,77,77,46,54,66,6,7
male,group D,some college,standard,completed,58,59,58,49,95,45,98,60,59,90,52,85,64,70,97,96,37,40,59,84,48,48,91,45,41,50,100,97,78,78,92,60,97,87,52,83,59,63,86,96,86,66,51,49,69,74,58,51,41,100,99,58,6,8
female,group C,some high school,free/reduced,none,0,17,10,79,88,38,35,64,81,82,40,39,45,69,93,43,81,99,39,81,66,82,36,81,77,50,78,59,92,81,92,63,55,91,52,92,35,100,72,37,59,37,46,87,36,56,68,92,60,52,67,71,6,9
male,group E,bachelor's degree,free/reduced,completed,79,74,72,43,42,77,75,74,73,77,37,85,92,66,47,43,60,43,60,37,100,92,77,51,96,42,57,66,96,97,71,72,71,58,66,58,38,57,92,87,43,62,57,52,77,96,99,93,51,80,92,46,6,0
male,group A,some high school,free/reduced,none,39,39,34,70,84,96,64,39,65,49,93,95,77,46,81,62,79,95,49,89,96,41,99,51,68,53,60,72,76,92,79,89,72,82,89,78,81,39,57,47,64,81,80,39,59,54,76,60,47,47,53,96,6,1
male,group A,associate's degree,free/reduced,none,62,61,55,44,79,71,86,91,90,86,88,48,65,87,44,93,90,66,93,88,52,92,41,76,51,61,87,53,41,96,36,64,99,53,89,88,77,41,69,58,84,100,40,76,93,95,97,75,93,93,82,84,7,2
female,group C,associate's degree,standard,none,69,80,71,70,87,87,45,81,65,99,93,84,60,77,37,75,66,71,69,92,100,72,67,91,86,77,83,75,73,54,42,60,86,83,74,84,68,53,44,49,61,71,42,93,93,82,35,91,74,51,84,50,7,3
female,group D,some high school,standard,none,59,58,59,85,99,89,85,38,91,42,56,79,49,54,71,79,72,99,82,57,96,97,82,47,88,56,66,100,55,50,100,88,68,87,86,37,99,55,55,39,68,49,37,89,100,83,91,43,60,99,63,87,7,4
male,group B,some high school,standard,none,67,64,61,45,83,44,51,58,40,87,68,72,37,47,84,66,78,90,81,70,46,49,94,78,58,64,86,99,45,68,76,42,77,85,61,67,74,44,55,77,87,90,61,63,94,48,96,42,61,81,55,84,6,5
male,group D,some high school,free/reduced,none,45,37,37,100,60,77,50,64,72,56,86,85,52,78,45,44,48,73,67,64,37,38,49,83,86,38,76,74,89,77,60,80,46,38,82,87,72,68,93,93,38,78,58,73,92,45,45,44,89,46,84,81,6,6
female,group C,some college,standard,none,60,72,74,35,55,50,39,72,74,37,71,71,94,39,56,46,40,43,60,49,87,77,48,94,69,76,38,97,56,58,94,54,49,40,96,96,84,67,56,85,97,52,81,69,75,80,73,66,66,89,40,78,6,7
